Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
MAKESY (249064-P1),11.0,IRVINE,KANSAS CITY,LTL,LTL,MAKESY (249064-P1)
PLANTATION CANDIES (93930-P1),30.67,TELFORD,FINDLAY,LTL,LTL,PLANTATION CANDIES (93930-P1)
WORLD DEPOT (100744-P1),12.0,JESSUP,AUBURN,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,LOUISVILLE,LTL,LTL,EASYFLEX USA (58997-P1)
THE NORTHWEST GROUP LLC (104134-P1),12.0,BLOOMINGTON,SACRAMENTO,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
ARGONIDE CORPORATION (105751-P1),14.5,MOUNT HOLLY SPRINGS,SANFORD,LTL,LTL,ARGONIDE CORPORATION (105751-P1)
SERFAS - AZ (250327-P1),35.57,PHOENIX,KINGSPORT,LTL,LTL,SERFAS - AZ (250327-P1)
WORLD DEPOT (100744-P1),15.0,BOLINGBROOK,LITTLETON,LTL,LTL,WORLD DEPOT (100744-P1)
SPI WEST PORT INC (100183-P1),14.5,EDISON,ANKENY,Volume,Volume,SPI WEST PORT INC (100183-P1)
FBD LOGISTICS (228466-P1),16.0,GRAND PRAIRIE,MIAMI,LTL,LTL,FBD LOGISTICS (228466-P1)
THE ABS COMPANY (97215-P1),12.0,MILWAUKEE,UNION,LTL,LTL,THE ABS COMPANY (97215-P1)
FBD LOGISTICS (228466-P1),21.84,WALNUT,SOUTH WEBER,LTL,LTL,FBD LOGISTICS (228466-P1)
WORLD DEPOT (100744-P1),21.85,JESSUP,HEMPSTEAD,LTL,LTL,WORLD DEPOT (100744-P1)
SILVERGATE SHIPPING INC (51355-P1),12.0,ARGYLE,MIAMI,LTL,LTL,SILVERGATE SHIPPING INC (51355-P1)
TECHTRADE SOLUTIONS (104510-P1),16.5,HOUSTON,REDONDO BEACH,LTL,LTL,TECHTRADE SOLUTIONS (104510-P1)
GOLDEN ARCUS INTL CO (84398-P1),21.0,CITY OF INDUSTRY,AMERICAN FORK,LTL,LTL,GOLDEN ARCUS INTL CO (84398-P1)
BOTE (99568-P1),22.22,Fort Walton Beach,Saint Petersburg,Truckload Expedited,Truckload Expedited,BOTE (99568-P1)
SERFAS (232816-P1),18.0,PHOENIX,UNIVERSAL CITY,LTL,LTL,SERFAS (232816-P1)
THE NORTHWEST GROUP LLC (104134-P1),16.0,ELKIN,GOODYEAR,LTL,LTL,THE NORTHWEST GROUP LLC (104134-P1)
PRO MOTION DISTRIBUTING (92973-P1),39.71,SHIRLEY,MEMPHIS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
