Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
REALSTONE SYSTEMS (64462-P1),16.0,TROY,HERNDON,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
SOURCE TRADING LA LLC (251925-P1),10.0,CHINO,SHOW LOW,LTL,LTL,SOURCE TRADING LA LLC (251925-P1)
GLOBAL FOODS INC (92503-P1),13.5,ROCHELLE,EAU CLAIRE,LTL,LTL,GLOBAL FOODS INC (92503-P1)
ELECTRIDUCT (52487-P1),15.0,SECAUCUS,POMPANO BEACH,LTL,LTL,ELECTRIDUCT (52487-P1)
WORLD DEPOT (100744-P1),12.0,ROSELLE,SEGUIN,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
OCEAN ROCK USA (88679-P1),15.14,CORONA,LOS GATOS,LTL,LTL,OCEAN ROCK USA (88679-P1)
CST INTL GROUP INC (90098-P1),14.0,COMPTON,TAMPA,LTL,LTL,CST INTL GROUP INC (90098-P1)
.MICHAEL HSU CUSTOMER (96685-P1D),22.22,Chino,Denver,Truckload,Truckload,.MICHAEL HSU CUSTOMER (96685-P1D)
REALSTONE SYSTEMS (64462-P1),16.0,AURORA,OKLAHOMA CITY,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
GLOBAL CARTAGE INC (116473-P1),26.01,SIMI VALLEY,UPLAND,LTL,LTL,GLOBAL CARTAGE INC (116473-P1)
CODAN MX (247594-P1),33.08,SAINT PETERSBURG,SAN DIEGO,LTL,LTL,CODAN MX (247594-P1)
KOSTER KEUNEN MANUFACTURING INC (242096-P1),17.65,REHOBOTH,WATERTOWN,LTL,LTL,KOSTER KEUNEN MANUFACTURING INC (242096-P1)
WWTL GROUP LTD (238135-P1),13.56,GARDEN CITY,ELK GROVE VILLAGE,LTL,LTL,WWTL GROUP LTD (238135-P1)
WORLD DEPOT (100744-P1),15.0,JACKSON,AZUSA,LTL,LTL,WORLD DEPOT (100744-P1)
SURFACE FINISHING COMPANY LLC (96016-P1),16.0,LIBERTYVILLE,PARK CITY,LTL,LTL,SURFACE FINISHING COMPANY LLC (96016-P1)
PREMIER ORGANICS (95905-P1),0.0,Oakland,Fontana,Truckload Expedited,Truckload Expedited,PREMIER ORGANICS (95905-P1)
CLEANIS (108759-P1),21.86,CHICAGO,GRAYSLAKE,LTL,LTL,CLEANIS (108759-P1)
THE ABS COMPANY (97215-P1),12.0,MILWAUKEE,LAREDO,LTL,LTL,THE ABS COMPANY (97215-P1)
KULL LAVERDE TRUCKING (106577-P1),18.81,INDIANAPOLIS,PLAINFIELD,LTL,LTL,KULL LAVERDE TRUCKING (106577-P1)
CASTELLE FURNITURE CO INC (104930-P1),12.0,SARASOTA,SCOTTSDALE,LTL,LTL,CASTELLE FURNITURE CO INC (104930-P1)
GEAR BAGS (241593-P1),12.0,CHARLOTTE,WEST VALLEY CITY,LTL,LTL,GEAR BAGS (241593-P1)
WORLD DEPOT (100744-P1),12.5,ONTARIO,TERRY,LTL,LTL,WORLD DEPOT (100744-P1)
HIGOLD (96912-P1),19.5,FONTANA,CAPE CORAL,LTL,LTL,HIGOLD (96912-P1)
THE ABS COMPANY (97215-P1),10.53,MILWAUKEE,PERRIS,LTL,LTL,THE ABS COMPANY (97215-P1)
EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1),14.0,CONCORD,GLENWOOD SPRINGS,LTL,LTL,EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1)
PRESTIGE IMPORT GROUP (61593-P1),60.42,DEERFIELD BEACH,RUSTON,LTL,LTL,PRESTIGE IMPORT GROUP (61593-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,BRIDGETON,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
WOODSPUR FARMS (243219-P1),11.0,COACHELLA,DALLAS,LTL,LTL,WOODSPUR FARMS (243219-P1)
CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1),27.0,CLIFTON HEIGHTS,FORT LAUDERDALE,LTL,LTL,CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1)
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),13.5,DALLAS,ANAHEIM,LTL,LTL,GUARDIAN ACCESS & DOOR HARDWARE (50943-P1)
HYLIO INC (113143-P1),22.12,RICHMOND,COLLEGE STATION,LTL,LTL,HYLIO INC (113143-P1)
JARROW INDUSTRIES (109658-P1),24.37,Joliet,Santa Fe Springs,Truckload,Truckload,JARROW INDUSTRIES (109658-P1)
NOW MOVE USA (63649-P1),13.5,EDGEWOOD,BROOKLYN,LTL,LTL,NOW MOVE USA (63649-P1)
JIT USA LOGISTICS CORP (101120-P1),20.58,BILLERICA,WOOD DALE,LTL,LTL,JIT USA LOGISTICS CORP (101120-P1)
REALSTONE SYSTEMS (64462-P1),24.38,TROY,SARASOTA,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
CRUNCH TECH INC (247848-P1),0.0,Simi Valley,Rancho Dominguez,Truckload Expedited,Truckload Expedited,CRUNCH TECH INC (247848-P1)
OCEAN ROCK USA (88679-P1),18.87,CORONA,LOS ANGELES,LTL,LTL,OCEAN ROCK USA (88679-P1)
"THE STAPLETON GROUP, INC (235240-P1)",10.4,SPARKS,MESA,LTL,LTL,"THE STAPLETON GROUP, INC (235240-P1)"
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),13.5,DALLAS,PORT NECHES,LTL,LTL,GUARDIAN ACCESS & DOOR HARDWARE (50943-P1)
BOTE (99568-P1),100.0,Fort Walton Beach,Fort Lauderdale,Truckload Expedited,Truckload Expedited,BOTE (99568-P1)
POWER STEER INC (63189-P1),18.42,EL PASO,DALLAS,LTL,LTL,POWER STEER INC (63189-P1)
PUMPING SOLUTIONS (52530-P1),21.86,SPARKS,ONTARIO,LTL,LTL,PUMPING SOLUTIONS (52530-P1)
GILLIS & LANE INC (67037-P1),28.82,TULSA,MANOR,LTL,LTL,GILLIS & LANE INC (67037-P1)
SITMATIC USA (94646-P1),17.5,FULLERTON,ALBUQUERQUE,LTL,LTL,SITMATIC USA (94646-P1)
SILVERGATE SHIPPING INC (51355-P1),13.5,CHATTANOOGA,RIVERSIDE,LTL,LTL,SILVERGATE SHIPPING INC (51355-P1)
ALERTUS (246703-P1),11.0,BALTIMORE,PORT COQUITLAM,LTL,LTL,ALERTUS (246703-P1)
Z DENTAL (237281-P1),0.0,Commerce,Santa Ana,Truckload,Truckload,Z DENTAL (237281-P1)
REVOLVE WHEELS (255357-P1),11.45,RAMSEY,COVINA,LTL,LTL,REVOLVE WHEELS (255357-P1)
CASTELLE FURNITURE CO INC (104930-P1),18.19,SARASOTA,WILLIAMSBURG,LTL,LTL,CASTELLE FURNITURE CO INC (104930-P1)
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),16.62,TEMECULA,RANCHO CUCAMONGA,LTL,LTL,PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1)
EASYFLEX USA (58997-P1),20.0,Fletcher,Denton,Truckload,Truckload,EASYFLEX USA (58997-P1)
SDS NATIONAL (102907-P1),14.0,HOUSTON,EL PASO,LTL,LTL,SDS NATIONAL (102907-P1)
MARBLE SYSTEMS (243345-P1),12.89,FAIRFAX,COLUMBUS,LTL,LTL,MARBLE SYSTEMS (243345-P1)
WORLD DEPOT (100744-P1),12.5,CHINO,CARENCRO,LTL,LTL,WORLD DEPOT (100744-P1)
JL WINGERT COMPANY (88594-P1),16.71,GARDEN GROVE,KAYSVILLE,LTL,LTL,JL WINGERT COMPANY (88594-P1)
GILLIS & LANE INC (67037-P1),28.82,TULSA,MANOR,LTL,LTL,GILLIS & LANE INC (67037-P1)
EAST WEST TRADING (245683-P1),16.21,NILES,CLACKAMAS,LTL,LTL,EAST WEST TRADING (245683-P1)
AQUA ULTRAVIOLET (105519-P1),14.01,TEMECULA,GILBERT,LTL,LTL,AQUA ULTRAVIOLET (105519-P1)
EMPAVA APPLIANCES (251270-P1),10.0,LEANDER,CITY OF INDUSTRY,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
JL WINGERT COMPANY (88594-P1),14.38,GARDEN GROVE,STONEHAM,LTL,LTL,JL WINGERT COMPANY (88594-P1)
RLT LOGISTICS GROUP LLC (60174-P1),13.5,ANDOVER,WALNUT,LTL,LTL,RLT LOGISTICS GROUP LLC (60174-P1)
CAL STATE SUPPLY (240034-P1),13.95,CHICAGO,IMPERIAL,LTL,LTL,CAL STATE SUPPLY (240034-P1)
TILE TECH INC (65929-P1),15.24,VERNON,SAN FRANCISCO,LTL,LTL,TILE TECH INC (65929-P1)
CAL STATE SUPPLY (240034-P1),16.39,CHICAGO,HOLTVILLE,LTL,LTL,CAL STATE SUPPLY (240034-P1)
COOLER DEPOT (50236-P1),13.0,CITY OF INDUSTRY,MILTON,LTL,LTL,COOLER DEPOT (50236-P1)
EMPAVA APPLIANCES (251270-P1),13.4,CITY OF INDUSTRY,RANCHO MIRAGE,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
Z DENTAL (237281-P1),31.6,COMMERCE,HAWAIIAN GARDENS,LTL,LTL,Z DENTAL (237281-P1)
BOLIDE TECHNOLOGY GROUP (104073-P1),12.0,SAN DIMAS,HOUSTON,LTL,LTL,BOLIDE TECHNOLOGY GROUP (104073-P1)
SILVERWINGS UNIQUE (60288-P1),15.0,INGLEWOOD,CHARLOTTE,Volume,Volume,SILVERWINGS UNIQUE (60288-P1)
ASHTEL STUDIOS (107999-P1),25.38,ONTARIO,PARAMOUNT,LTL,LTL,ASHTEL STUDIOS (107999-P1)
KAHUNA CHAIR (243830-P1),26.55,COMPTON,LAS VEGAS,LTL,LTL,KAHUNA CHAIR (243830-P1)
EMOJO BIKE (105217-P1),12.86,APOPKA,MIRAMAR BEACH,LTL,LTL,EMOJO BIKE (105217-P1)
ALIGNED MEDICAL SOLUTIONS (104631-P1),12.0,BILLINGS,PLAINVIEW,LTL,LTL,ALIGNED MEDICAL SOLUTIONS (104631-P1)
TRANSDECO INTL (50580-P1),10.0,CHINO,GOULDSBORO,LTL,LTL,TRANSDECO INTL (50580-P1)
EMPAVA APPLIANCES (251270-P1),15.0,CITY OF INDUSTRY,CHAMBERSBURG,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
POST PONY WAREHOUSE (254229-P1),11.62,CHINO,PITTSBURG,LTL,LTL,POST PONY WAREHOUSE (254229-P1)
USA TECHNOLOGY CORP (81252-P1),17.66,ONTARIO,CASA GRANDE,LTL,LTL,USA TECHNOLOGY CORP (81252-P1)
USA TECHNOLOGY CORP (81252-P1),17.7,ONTARIO,CASA GRANDE,LTL,LTL,USA TECHNOLOGY CORP (81252-P1)
KINGHOOD INTERNATIONAL LOGISTICS (240864-P1),15.0,CORONA,OMAHA,LTL,LTL,KINGHOOD INTERNATIONAL LOGISTICS (240864-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,BATAVIA,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
CST INTL GROUP INC (90098-P1),30.57,BYHALIA,BUENA PARK,LTL,LTL,CST INTL GROUP INC (90098-P1)
KW INTERNATIONAL (65898-P1),21.49,ALAMOSA,GRAND PRAIRIE,LTL,LTL,KW INTERNATIONAL (65898-P1)
SOURCE TRADING LA LLC (251925-P1),53.19,CHINO,DENVER,LTL,LTL,SOURCE TRADING LA LLC (251925-P1)
THE ABS COMPANY (97215-P1),13.5,MILWAUKEE,TAMPA,LTL,LTL,THE ABS COMPANY (97215-P1)
CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1),29.5,CLIFTON HEIGHTS,ALBANY,LTL,LTL,CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1)
OCEAN ROCK USA (88679-P1),15.0,STATEN ISLAND,CORONA,LTL,LTL,OCEAN ROCK USA (88679-P1)
LAZER MARBLE & GRANITE (103558-P1),21.5,Loudon,Union,Truckload,Truckload,LAZER MARBLE & GRANITE (103558-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,ANNAPOLIS,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
TRENDSTAR CORP (249751-P1),43.79,FAIRFIELD,EMMAUS,LTL,LTL,TRENDSTAR CORP (249751-P1)
ECOLOGIX ENVIRONMENTAL SYSTEMS LLC (98558-P1),19.5,MARION,LITHONIA,LTL,LTL,ECOLOGIX ENVIRONMENTAL SYSTEMS LLC (98558-P1)
THE ABS COMPANY (97215-P1),12.0,MILWAUKEE,TENAFLY,LTL,LTL,THE ABS COMPANY (97215-P1)
SUWANNEE RIVER SUPPLY (238487-P1),20.91,LYNCHBURG,MADISON,LTL,LTL,SUWANNEE RIVER SUPPLY (238487-P1)
CUSTOM CUP FACTORY (230209-P1),12.5,SOUTH EL MONTE,LEXINGTON,LTL,LTL,CUSTOM CUP FACTORY (230209-P1)
BROEKEMA BELTWAY (93549-P1),0.0,Woodland,Salida,Truckload,Truckload,BROEKEMA BELTWAY (93549-P1)
COOLER DEPOT (50236-P1),12.2,MANCHESTER,CITY OF INDUSTRY,LTL,LTL,COOLER DEPOT (50236-P1)
JOCKIMO INC (52554-P1),34.34,SOUTH GATE,ANCHORAGE,LTL,LTL,JOCKIMO INC (52554-P1)
GMI WHEELS (234993-P1),13.31,CEDAR CITY,MILL CREEK,LTL,LTL,GMI WHEELS (234993-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,MARCO ISLAND,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
PLANTATION CANDIES (93930-P1),31.29,TELFORD,WILKES-BARRE,Enterprise,Enterprise,PLANTATION CANDIES (93930-P1)
GENUINE DENTAL SUPPLY (253411-P1),10.17,MIAMI,LOS ALAMITOS,LTL,LTL,GENUINE DENTAL SUPPLY (253411-P1)
FBD LOGISTICS (228466-P1),15.0,BUFORD,WEST COLUMBIA,Volume,Volume,FBD LOGISTICS (228466-P1)
EASYFLEX USA (58997-P1),17.87,FIFE,AUBURN,LTL,LTL,EASYFLEX USA (58997-P1)
WORLD DEPOT (100744-P1),24.22,Bolingbrook,Azusa,Truckload,Truckload,WORLD DEPOT (100744-P1)
TOMEI POWERED USA (110700-P1),15.34,LAKE FOREST,LOUISVILLE,LTL,LTL,TOMEI POWERED USA (110700-P1)
CAMERICH USA (59906-P1),8.5,RENTON,MIAMI,LTL,LTL,CAMERICH USA (59906-P1)
REALSTONE SYSTEMS (64462-P1),17.0,TROY,SARASOTA,Enterprise,Enterprise,REALSTONE SYSTEMS (64462-P1)
KOSTER KEUNEN MANUFACTURING INC (242096-P1),13.5,WATERTOWN,MIAMI,LTL,LTL,KOSTER KEUNEN MANUFACTURING INC (242096-P1)
MARUKAN VINEGAR USA (101648-P1),14.0,GRIFFIN,BUDA,LTL,LTL,MARUKAN VINEGAR USA (101648-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,KANSAS CITY,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
MARUKAN VINEGAR USA (101648-P1),14.0,WILKES-BARRE,FREDERICK,LTL,LTL,MARUKAN VINEGAR USA (101648-P1)
PUMPING SOLUTIONS (52530-P1),21.83,ONTARIO,AMERICAN CANYON,LTL,LTL,PUMPING SOLUTIONS (52530-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,FAR ROCKAWAY,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
ASHTEL STUDIOS (107999-P1),14.7,ONTARIO,LANSING,LTL,LTL,ASHTEL STUDIOS (107999-P1)
WESTCO FRUITS & NUTS INC (103389-P1),11.88,GRIDLEY,MONTGOMERY,Volume,Volume,WESTCO FRUITS & NUTS INC (103389-P1)
MATRIX AIR SYSTEMS (114161-P1),39.01,OSWEGO,CONTOOCOOK,LTL,LTL,MATRIX AIR SYSTEMS (114161-P1)
DIRTGLUE ENTERPRISES (245657-P1),10.0,NEW CANEY,WEST CARROLLTON,LTL,LTL,DIRTGLUE ENTERPRISES (245657-P1)
SDS NATIONAL (102907-P1),15.0,ELK GROVE VILLAGE,CARROLLTON,Volume,Volume,SDS NATIONAL (102907-P1)
ZACA INC. (60803-P1),14.5,WESTLAKE VILLAGE,LODI,LTL,LTL,ZACA INC. (60803-P1)
OCEANIA INTERNATIONAL (62004-P1),27.27,Anaheim,Burley,Truckload Flatbed,Truckload Flatbed,OCEANIA INTERNATIONAL (62004-P1)
IGNITUS CORPORATION (65671-P1),13.57,S EL MONTE,CLACKAMAS,LTL,LTL,IGNITUS CORPORATION (65671-P1)
TRENDSTAR CORP (249751-P1),44.66,FAIRFIELD,PITTSBURGH,LTL,LTL,TRENDSTAR CORP (249751-P1)
NOW MOVE USA (63649-P1),12.0,BRENTWOOD,LAS VEGAS,Enterprise,Enterprise,NOW MOVE USA (63649-P1)
MATRIX AIR SYSTEMS (114161-P1),35.47,CONTOOCOOK,SMYRNA,LTL,LTL,MATRIX AIR SYSTEMS (114161-P1)
EVASIVE MOTORSPORTS (80883-P1),14.5,CERRITOS,PRAIRIEVILLE,LTL,LTL,EVASIVE MOTORSPORTS (80883-P1)
EASYFLEX USA (58997-P1),16.93,DENTON,SAN ANTONIO,LTL,LTL,EASYFLEX USA (58997-P1)
EVOLUTION ELECTRIC VEHICLES (233844-P1),100.0,Corona,Morro Bay,Truckload,Truckload,EVOLUTION ELECTRIC VEHICLES (233844-P1)
JARROW INDUSTRIES (109658-P1),25.53,CARLSBAD,FULLERTON,LTL,LTL,JARROW INDUSTRIES (109658-P1)
JL WINGERT COMPANY (88594-P1),27.52,GARDEN GROVE,POMONA,LTL,LTL,JL WINGERT COMPANY (88594-P1)
MA GROUP OF COMPANIES (247186-P1),23.05,LOS ANGELES,SACRAMENTO,LTL,LTL,MA GROUP OF COMPANIES (247186-P1)
DAILY CONCEPTS (116842-P1),16.0,LOS ANGELES,HEBRON,LTL,LTL,DAILY CONCEPTS (116842-P1)
ADVANTAGE LIGHTING SOLUTIONS (94035-P1),20.85,HOUSTON,ROUND ROCK,LTL,LTL,ADVANTAGE LIGHTING SOLUTIONS (94035-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,OMAHA,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
PRO-EDGE INDUSTRIES (250441-P1),12.72,SANTA FE SPRINGS,BAKERSFIELD,LTL,LTL,PRO-EDGE INDUSTRIES (250441-P1)
THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1),15.91,AKRON,WESTLAKE,LTL,LTL,THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1)
JARROW INDUSTRIES (109658-P1),37.11,City of Industry,Santa Fe Springs,Truckload,Truckload,JARROW INDUSTRIES (109658-P1)
EVASIVE MOTORSPORTS (80883-P1),14.5,CERRITOS,KISSIMMEE,LTL,LTL,EVASIVE MOTORSPORTS (80883-P1)
OCEAN ROCK USA (88679-P1),12.5,CORONA,PORT SAINT LUCIE,LTL,LTL,OCEAN ROCK USA (88679-P1)
WORLD DEPOT (100744-P1),12.0,WHEAT RIDGE,GRAND PRAIRIE,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
EASYFLEX USA (58997-P1),16.93,DENTON,AUSTIN,LTL,LTL,EASYFLEX USA (58997-P1)
ALTECH ELECTRONICS (110481-P1),12.99,PARAMOUNT,SALT LAKE CITY,LTL,LTL,ALTECH ELECTRONICS (110481-P1)
REALSTONE SYSTEMS (64462-P1),22.94,TROY,NIXA,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
DYNA TRANSPORT - CA (249191-P1),26.32,Yuba City,San Bruno,Truckload Expedited,Truckload Expedited,DYNA TRANSPORT - CA (249191-P1)
THE DIPPER INC (95999-P1),14.0,ALVIN,LAS VEGAS,LTL,LTL,THE DIPPER INC (95999-P1)
STUEWE & SONS INC (100192-P1),12.0,TANGENT,LOGAN,LTL,LTL,STUEWE & SONS INC (100192-P1)
ASHTEL STUDIOS (107999-P1),18.92,ONTARIO,TIPP CITY,LTL,LTL,ASHTEL STUDIOS (107999-P1)
SDS NATIONAL (102907-P1),14.0,HOUSTON,CARROLLTON,LTL,LTL,SDS NATIONAL (102907-P1)
OCEANIA INTERNATIONAL (62004-P1),12.0,ONTARIO,ADDISON,Volume,Volume,OCEANIA INTERNATIONAL (62004-P1)
VIP RUBBER COMPANY (50937-P1),12.0,MINDEN,HUTCHINSON,LTL,LTL,VIP RUBBER COMPANY (50937-P1)
EASYFLEX USA (58997-P1),16.93,DENTON,COPPELL,LTL,LTL,EASYFLEX USA (58997-P1)
WORLD DEPOT (100744-P1),12.51,BOLINGBROOK,ROMEOVILLE,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
TETRACO LLC (101261-P1),22.73,Midland,Ratliff City,Truckload,Truckload,TETRACO LLC (101261-P1)
EVASIVE MOTORSPORTS (80883-P1),14.5,CERRITOS,LINCOLNWOOD,LTL,LTL,EVASIVE MOTORSPORTS (80883-P1)
GREEN POWER BATTERIES (105428-P1),15.0,BELLINGHAM,ONTARIO,LTL,LTL,GREEN POWER BATTERIES (105428-P1)
WORLD DEPOT (100744-P1),20.86,ROSELLE,PHILADELPHIA,LTL,LTL,WORLD DEPOT (100744-P1)
EASYFLEX USA (58997-P1),19.76,DENTON,LOUISVILLE,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
REALSTONE SYSTEMS (64462-P1),16.0,ONTARIO,RENO,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
SHIPPING AND HANDLING (104504-P1),43.72,JACKSONVILLE,ORLANDO,LTL,LTL,SHIPPING AND HANDLING (104504-P1)
CODAN MX (247594-P1),12.41,Los Angeles,San Diego,Truckload Expedited,Truckload Expedited,CODAN MX (247594-P1)
SDS NATIONAL (102907-P1),26.03,BIRMINGHAM,LA VERGNE,LTL,LTL,SDS NATIONAL (102907-P1)
GLOBAL USA INC / MERCY USA (101831-P1),21.92,LEXINGTON,WHITE SULPHUR SPRINGS,LTL,LTL,GLOBAL USA INC / MERCY USA (101831-P1)
ZACA INC. (60803-P1),15.04,WESTLAKE VILLAGE,STOCKTON,LTL,LTL,ZACA INC. (60803-P1)
KINGDOM DISTRIBUTORS (98029-P1),14.5,OXNARD,SAN JOSE,LTL,LTL,KINGDOM DISTRIBUTORS (98029-P1)
PLASTIC INNOVATIONS INC. (246223-P1),18.73,VANCOUVER,MIRA LOMA,LTL,LTL,PLASTIC INNOVATIONS INC. (246223-P1)
COOLER DEPOT (50236-P1),12.53,CITY OF INDUSTRY,MAMOU,Enterprise,Enterprise,COOLER DEPOT (50236-P1)
MATE USA LLC (112540-P1),14.5,DEERFIELD BEACH,BELLINGHAM,LTL,LTL,MATE USA LLC (112540-P1)
ELECTRIDUCT (52487-P1),15.41,POMPANO BEACH,PHOENIX,LTL,LTL,ELECTRIDUCT (52487-P1)
TOP WISE LOGISTICS - CA (89101-P1),19.15,Jamaica,Mountville,Truckload,Truckload,TOP WISE LOGISTICS - CA (89101-P1)
IN DEMAND MARKETING LLC (228459-P1),23.17,RIALTO,CARLSBAD,LTL,LTL,IN DEMAND MARKETING LLC (228459-P1)
PRO MOTION DISTRIBUTING (92973-P1),31.35,O FALLON,MEMPHIS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
REALSTONE SYSTEMS (64462-P1),16.0,AURORA,MILWAUKEE,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
EASYFLEX USA (58997-P1),16.93,DENTON,COLLEGE STATION,LTL,LTL,EASYFLEX USA (58997-P1)
EASYFLEX USA (58997-P1),19.76,DENTON,MIAMI,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
GLOBAL FOODS INC (92503-P1),35.75,NORFOLK,CINCINNATI,Enterprise,Enterprise,GLOBAL FOODS INC (92503-P1)
MATRIX AIR SYSTEMS (114161-P1),17.45,LOUISVILLE,CONTOOCOOK,LTL,LTL,MATRIX AIR SYSTEMS (114161-P1)
"THE STAPLETON GROUP, INC (235240-P1)",12.41,FAIRFAX,SOUTH ELGIN,LTL,LTL,"THE STAPLETON GROUP, INC (235240-P1)"
EASTERNCCTV (249588-P1),28.7,CITY OF INDUSTRY,SWEETWATER,LTL,LTL,EASTERNCCTV (249588-P1)
SDS NATIONAL (102907-P1),14.0,DORAL,CARROLLTON,LTL,LTL,SDS NATIONAL (102907-P1)
PLASTIC INNOVATIONS INC. (246223-P1),16.47,PORTLAND,MIRA LOMA,LTL,LTL,PLASTIC INNOVATIONS INC. (246223-P1)
AFFORDABLE WIPERS (94566-P1),21.56,HOUSTON,SPRINGFIELD,LTL,LTL,AFFORDABLE WIPERS (94566-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,MIDDLETOWN,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
COOLER DEPOT (50236-P1),21.75,CITY OF INDUSTRY,COCHRAN,LTL,LTL,COOLER DEPOT (50236-P1)
SHUMAN PLASTICS (85006-P1),21.51,ABINGDON,DEPEW,LTL,LTL,SHUMAN PLASTICS (85006-P1)
FARM KING SUPPLY (113819-P1),12.0,JACKSON,MACOMB,LTL,LTL,FARM KING SUPPLY (113819-P1)
ATLANTIC TOWERS (247143-P1),27.88,BAYVILLE,ANNAPOLIS,LTL,LTL,ATLANTIC TOWERS (247143-P1)
KEN MASON TILE (50280-P1),12.0,NORTH HOLLYWOOD,AUSTIN,LTL,LTL,KEN MASON TILE (50280-P1)
SERFAS (232816-P1),25.0,PHOENIX,EAST EARL,LTL,LTL,SERFAS (232816-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,ORLANDO,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
WORLD DEPOT (100744-P1),14.0,BELOIT,AZUSA,LTL,LTL,WORLD DEPOT (100744-P1)
GENERAL FLOORCRAFT (234115-P1),12.0,DORAL,BRANDON,LTL,LTL,GENERAL FLOORCRAFT (234115-P1)
WOODSPUR FARMS (243219-P1),23.53,Coachella,San Dimas,Truckload,Truckload,WOODSPUR FARMS (243219-P1)
METALLIC LADDER MANUFACTURING - BRENDA (252492-P1),28.33,RANDOLPH,TAMPA,LTL,LTL,METALLIC LADDER MANUFACTURING - BRENDA (252492-P1)
COOLER DEPOT (50236-P1),13.0,CITY OF INDUSTRY,CLEVELAND,LTL,LTL,COOLER DEPOT (50236-P1)
EEZGLOBAL INC (82586-P1),14.5,HAYWARD,PALMHURST,LTL,LTL,EEZGLOBAL INC (82586-P1)
JOHN HOWARD COMPANY (84899-P1),25.36,CHICAGO,CHINO,LTL,LTL,JOHN HOWARD COMPANY (84899-P1)
EASYFLEX USA (58997-P1),16.17,DENTON,HOUMA,LTL,LTL,EASYFLEX USA (58997-P1)
NOW MOVE USA (63649-P1),12.0,VIRGINIA BEACH,PENTICTON,Enterprise,Enterprise,NOW MOVE USA (63649-P1)
NOW MOVE USA (63649-P1),16.69,NORTH LAS VEGAS,FARMINGTON,LTL,LTL,NOW MOVE USA (63649-P1)
CUBE CARE (101776-P1),12.0,HIALEAH,ALBANY,LTL,LTL,CUBE CARE (101776-P1)
MIRROR IMAGE (93977-P1),13.5,LOS ANGELES,WEST HOLLYWOOD,LTL,LTL,MIRROR IMAGE (93977-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,ALEDO,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
GOVINO (100871-P1),14.0,HOUSTON,SCHULENBURG,LTL,LTL,GOVINO (100871-P1)
COOLER DEPOT (50236-P1),14.5,CITY OF INDUSTRY,COLUMBIA FALLS,LTL,LTL,COOLER DEPOT (50236-P1)
EASYFLEX USA (58997-P1),14.02,DENTON,HOPKINSVILLE,LTL,LTL,EASYFLEX USA (58997-P1)
SDS NATIONAL (102907-P1),24.91,ARLINGTON HEIGHTS,WEST CHICAGO,LTL,LTL,SDS NATIONAL (102907-P1)
