Customer,Margin Percent,Gross Margin,Variance Count,Variance %,loads,Win Ratio,Total Quotes
GMC COATING LIMITED - CAD (245100-P1),13.71,$159,1,50%,2,7%,41
GMI WHEELS (234993-P1),13.17,$935,4,15%,27,35%,83
GOLD EAGLE USA (94488-P1),21.7,"$6,107",7,16%,43,45%,96
GOLD STANDARD CERTIFIED PARTS (252493-P1),18.87,$345,1,14%,7,89%,9
GOLDEN ARCUS INTL CO (84398-P1),26.0,"$3,984",6,27%,22,23%,164
GOLDEN BRIDGE (59017-P1),15.1,$285,0,0%,2,40%,5
GOLDEN BRIDGE INTERNATIONAL (249063-P1),11.0,$29,1,100%,1,11%,9
GOLDEN RAILINGS INC (98499-P1),18.95,"$1,930",4,27%,15,18%,74
GOLDEN SUN (230594-P1),11.0,$25,0,0%,1,67%,3
GOLDENHOME CABINETRY (81986-P1),33.22,$359,0,0%,2,100%,1
GOLDENHOME CABINETRY LLC - CA (83537-P1),23.92,$197,0,0%,2,100%,3
GOLFETAIL.COM (58596-P1),14.5,$117,1,50%,2,12%,17
GOODWOOD HARDWARE (106473-P1),12.1,$282,2,33%,6,70%,10
GORILLA COATINGS CORP (87325-P1),30.5,"$3,658",2,17%,12,70%,10
GOVINO (100871-P1),19.2,"$5,491",7,25%,28,40%,62
GOVINO - OLIVIA (245413-P1),24.2,$982,6,46%,13,81%,16
GRAYSON LUXURY -- DNS (105305-P1),18.05,"$1,677",16,57%,28,,
"GREAT LAKES FINISHING EQUIPMENT, INC. (230726-P1)",28.08,$70,1,50%,2,12%,16
GREEN CASTLE (50464-P1),12.22,$207,1,100%,1,100%,1
GREEN POWER BATTERIES (105428-P1),14.09,"$2,866",24,42%,57,22%,351
GREENPOWER MOTOR CO (249180-P1),34.37,"$1,364",1,33%,3,57%,7
GRIP CLEAN (84392-P1),16.63,$673,6,75%,8,36%,22
GROWERS CHOICE (90518-P1),17.07,"$3,099",14,40%,35,62%,146
GROWERS-INC (97302-P1),12.35,$512,3,50%,6,45%,20
GROWING SOLUTIONS INC - IL (101396-P1),11.94,$23,0,0%,1,33%,3
GRUPO CANELA (247962-P1),19.88,$430,5,71%,7,10%,81
GSE REPAIR (103026-P1),28.81,$55,0,0%,1,100%,1
GSO PRINTING (237888-P1),11.97,$27,1,100%,1,200%,1
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),16.41,"$3,407",14,33%,42,25%,184
H & K SUPPLY (50459-P1),17.51,$203,0,0%,6,46%,13
HALESTORM ENGINEERING INC (112513-P1),25.35,$68,0,0%,1,100%,1
HAMMERS DEPARTMENT STORE (250721-P1),12.68,"$1,228",10,36%,28,72%,39
HAMPTON POPCORN (229994-P1),14.42,"$5,012",21,36%,58,50%,118
HAPPY FACTORIES (241587-P1),17.84,"$1,175",0,0%,3,100%,1
HARIO NORTH AMERICA (86055-P1),14.12,"$1,087",3,16%,19,84%,31
HARVARDS CHROME FACTORY (87360-P1),18.08,$350,4,57%,7,33%,24
HEARTH CO (105424-P1),16.49,$111,1,100%,1,12%,8
HENNESSY WOOD FLOORS (84867-P1),22.04,$734,3,15%,20,62%,34
HFS SOCAL INC (231551-P1),17.11,"$1,822",13,42%,31,68%,47
HI-LITE MANUFACTURING CO INC (99796-P1),18.26,"$1,563",8,35%,23,7%,371
HIGHLAND SUPPLY CORP (117014-P1),17.94,$84,1,33%,3,7%,27
HIGOLD (96912-P1),25.27,"$2,661",15,62%,24,86%,29
HJ CLOSEOUTS (103154-P1),16.64,$71,0,0%,2,3%,68
HOME CREATION BY KK (63454-P1),14.77,$103,0,0%,3,30%,10
HOOKAH G (37075-P1),15.23,$553,2,20%,10,45%,20
HOPE HAVEN WEST (254626-P1),6.06,$300,0,0%,1,,
HOT SHOT SUPPLY (97385-P1),12.84,$745,2,18%,11,55%,22
HOUSEWARES INTERNATIONAL (231135-P1),35.3,$590,0,0%,6,18%,51
HTT CARGO (244047-P1),25.55,$132,2,100%,2,20%,10
HUSK ITT DISTRIBUTORS CORPORATION (101887-P1),17.94,$217,1,25%,4,22%,9
HYLIO INC (113143-P1),19.29,"$3,114",21,57%,37,90%,48
I.R. DISTRIBUTIONS INC (253660-P1),27.89,$596,1,25%,4,38%,13
IGNITUS CORPORATION (65671-P1),17.08,"$1,099",2,17%,12,21%,56
IMAGE PLASTICS & PACKAGING (98270-P1),11.6,$220,1,20%,5,36%,14
IMPRESS CABINETRY INC (112729-P1),30.71,$236,0,0%,2,67%,3
IN DEMAND MARKETING LLC (228459-P1),32.81,"$3,957",16,32%,50,49%,108
INDIAN WELLS BREWING COMPANY (237070-P1),20.58,$350,0,0%,2,,
INDUSTRIAL TRADING SOLUTIONS (58502-P1),35.18,$166,0,0%,2,26%,19
INNOVATE IT LLC (93492-P1),16.78,$267,3,100%,3,20%,10
INNOVATING PRODUCTS GROUP (252029-P1),16.33,$307,0,0%,3,62%,8
INNOVATIVE BEVERAGE CONCEPTS INC (229777-P1),13.6,"$3,711",25,39%,64,27%,237
INSTANT TOOLS (51358-P1),14.5,$26,0,0%,1,20%,5
INTEGRA SUPPLY LLC (101495-P1),13.02,$296,1,20%,5,26%,27
INTERNATIONAL FOOD DISTRIBUTORS (250999-P1),8.36,$395,0,0%,1,,
INTERNATIONAL FOOD PACKAGING INC (81127-P1),19.41,"$1,000",1,33%,3,33%,9
INTERTEK (239125-P1),11.0,$25,1,100%,1,100%,1
INVIDIA (58801-P1),20.66,"$7,278",4,31%,13,38%,21
IOWA PARTS INC (102965-P1),14.5,"$5,798",26,29%,89,70%,134
IPOWER INC (65700-P1),19.73,$624,3,60%,5,60%,10
IPW INDUSTRIES INC. (83463-P1),13.97,$210,2,50%,4,62%,8
IQA METAL (83425-P1),12.29,$357,4,57%,7,80%,10
IR-TEC AMERICA (229997-P1),30.72,$142,0,0%,2,100%,2
J&S CHEMICAL (250411-P1),27.4,$98,0,0%,2,33%,3
JADE DISTRIBUTION (98325-P1),13.93,$272,2,22%,9,40%,25
JAIN IRRIGATIONS INC (101486-P1),23.85,"$3,948",2,18%,11,79%,14
"JARROW FORMULAS, INC (94074-P1)",26.68,"$1,360",0,0%,2,33%,3
JARROW INDUSTRIES (109658-P1),31.72,"$10,608",3,9%,33,100%,15
JAX LOGISTICS LLC (104511-P1),12.0,$179,3,75%,4,44%,9
JBC SAFETY PLASTIC INC (51780-P1),12.06,"$1,600",7,58%,12,20%,51
JD LOGISTICS UNITED STATES COMPANY (94229-P1),23.66,"$11,862",29,48%,60,27%,256
JDA GLOBAL (60800-P1),16.42,"$4,285",42,50%,84,96%,98
JDM CALIFORNIA MOTORS (59433-P1),26.9,$432,0,0%,5,42%,12
JDM WESTCOAST (111904-P1),13.47,"$1,199",6,16%,37,62%,61
JDM WESTSIDE (51835-P1),12.41,$229,1,12%,8,38%,21
JFS LOGISTICS INC (235653-P1),17.63,"$1,312",5,56%,9,18%,44
JGW FURNITURE (103848-P1),12.67,"$1,654",10,37%,27,13%,252
JH CORP (240990-P1),22.08,"$2,956",4,57%,7,25%,16
JIAHERB INC (50655-P1),21.9,"$11,378",24,20%,121,81%,178
JIT USA LOGISTICS CORP (101120-P1),18.73,"$1,782",4,9%,44,37%,126
JL WINGERT COMPANY (88594-P1),18.24,"$6,434",16,18%,88,71%,134
JOCKIMO INC (52554-P1),22.97,"$7,577",16,37%,43,71%,82
JOHN HOWARD COMPANY (84899-P1),17.81,"$12,553",26,27%,96,80%,123
JOHN WOOD AUTOMOTIVE (82196-P1),14.5,$38,0,0%,1,50%,2
JONI AND FRIENDS (107703-P1),12.0,$48,0,0%,1,20%,5
JOYIN INC (233907-P1),25.92,$35,0,0%,1,18%,11
JPACK INTERNATIONAL INC (90437-P1),17.55,$133,1,100%,1,50%,4
JUNGLE JIM'S INTERNATIONAL MARKET (237593-P1),25.21,$525,0,0%,2,67%,3
KAB DISTRIBUTORS INC. (234677-P1),24.9,"$1,178",4,57%,7,36%,22
KAHUNA CHAIR (243830-P1),25.22,"$6,364",11,26%,43,39%,135
KANSA TRANSPORT INC (251287-P1),9.95,$500,0,0%,2,,
KC HILITES (114381-P1),12.0,$127,0,0%,2,100%,3
KCC TRANSPORT - HOU (113460-P1),22.63,$209,2,67%,3,21%,19
KCC TRANSPORT - HOUSTON (113460-P1),32.11,"$2,345",0,0%,4,,
KCC TRANSPORT - JFK (113463-P1),17.0,$38,0,0%,1,50%,2
KCC TRANSPORT - LAX (HQ) (89832-P1),30.59,"$8,319",10,43%,23,,
KCC TRANSPORT - RANCHO DOMINGUEZ (89832-P1),21.57,"$1,100",0,0%,1,,
KCC TRANSPORT - SFO (113459-P1),21.57,"$1,100",0,0%,1,,
KEN MASON TILE (50280-P1),12.33,$520,2,15%,13,44%,27
KENNEDY BAG IMPRESSIONS (101361-P1),16.6,$245,1,33%,3,60%,5
KEVIDKO (229223-P1),16.22,"$1,213",6,38%,16,29%,59
KEVIDKO - BELEN (250042-P1),26.48,$970,8,57%,14,35%,43
KGL AMERICA  - MIA OFFICE (61936-P1),15.4,$83,2,100%,2,7%,56
KGL AMERICA (50424-P1),17.33,"$2,760",9,26%,34,46%,89
KHL LOGISTICS INC. (254673-P1),6.32,$44,1,100%,1,25%,4
KILO E  LIQUIDS (240988-P1),13.04,"$2,550",5,6%,80,44%,194
KINGDOM DISTRIBUTORS (98029-P1),25.35,"$8,037",18,27%,67,41%,210
KINGER INDUSTRY INC (81250-P1),14.13,"$1,458",7,26%,27,40%,83
KINGFA GLOBAL INC (50330-P1),15.68,"$11,043",74,48%,155,73%,216
KINGHOOD INTERNATIONAL LOGISTICS (240864-P1),17.6,"$4,029",12,50%,24,9%,270
KINSEN FILTER MFG (107906-P1),38.98,"$3,436",2,15%,13,56%,25
KNF DESIGNS (230666-P1),30.45,"$2,689",1,17%,6,30%,23
KOBE RANGE HOODS (82910-P1),24.07,$103,0,0%,2,22%,9
KOLGOL (107454-P1),14.25,$81,0,0%,3,75%,4
KOOKABURRA LICORICE (63443-P1),12.81,$379,0,0%,5,26%,23
KOSTER KEUNEN MANUFACTURING INC (242096-P1),14.89,"$4,526",11,29%,38,64%,50
KRB MUSIC CO INC (105762-P1),29.89,"$1,268",6,120%,5,18%,34
KSOLV (249595-P1),10.53,$400,0,0%,1,,
KULL LAVERDE TRUCKING (106577-P1),24.37,"$7,878",20,48%,42,36%,117
KW INTERNATIONAL (65898-P1),25.23,"$3,789",20,31%,65,56%,125
KYZAA BIOPAK (64404-P1),26.87,$765,0,0%,3,50%,4
L&G PETROLEUM OPERATING (253726-P1),19.95,"$1,495",0,0%,1,,
L&M SERVICES (102132-P1),14.59,$571,1,12%,8,100%,8
LA BOTTLEWORKS (105228-P1),17.41,$995,0,0%,2,,
LA GARDEN SUPPLY (89184-P1),20.66,$835,9,64%,14,89%,19
LAB TECH SUPPLY COMPANY (92178-P1),25.19,"$8,766",2,10%,21,37%,54
LACONTEMPO (109944-P1),12.0,$51,0,0%,1,25%,4
LANCASTER FLOW AUTOMATION (251694-P1),10.22,$105,1,50%,2,120%,5
LANDMARK GRAFIX (230693-P1),34.84,$675,0,0%,2,100%,1
LANDWAY (66963-P1),24.83,"$2,016",2,33%,6,33%,15
LAPEL SOLUTIONS (96571-P1),12.98,$968,2,14%,14,27%,59
LARK INTERNATIONAL (87037-P1),10.47,"$1,247",0,0%,9,12%,52
"LASER EXPRESS, INC. (60791-P1)",23.19,"$4,555",10,34%,29,85%,33
LATIN BEAUTY SUPPLY (240878-P1),26.82,$152,0,0%,1,100%,1
LAUFER GROUP - CA (253801-P1),9.27,$309,1,50%,2,17%,6
LAVERDE TRUCKING (100298-P1),27.87,$425,0,0%,1,0%,2
LAZER MARBLE & GRANITE (103558-P1),18.14,"$7,975",3,11%,27,25%,72
LCI PRODUCTS (95846-P1),15.39,"$1,261",22,54%,41,45%,97
LEGACY LICENSING PARTNERS (108893-P1),9.58,$33,1,100%,1,0%,6
LEGEND OF ASIA INC (49781-P1),12.26,"$2,415",5,10%,50,63%,84
LEGION FLOOR (109408-P1),17.2,$59,0,0%,2,100%,2
LFD FORWARDING INC (98612-P1),17.0,"$1,525",3,20%,15,35%,55
LIFELINE BATTERIES (104071-P1),14.2,"$2,284",18,21%,84,18%,514
LIGHTING IMAGES TECHNOLOGY (251765-P1),7.04,$20,0,0%,1,,
LIGHTING JUNGLE (249558-P1),13.51,$414,2,18%,11,44%,25
LITE SOURCE INC (62990-P1),12.63,"$4,170",13,21%,62,26%,235
LIVING ESSENTIALS CORP (88064-P1),30.14,"$26,918",235,98%,240,84%,299
LKWID LLC (52151-P1),15.28,"$6,865",30,43%,70,76%,97
LLP GLOBAL (66427-P1),23.02,"$2,600",15,48%,31,30%,152
LOCK N CLIMB LLC (106186-P1),13.93,"$1,015",0,0%,19,22%,78
LOGIC-OLOGY (108022-P1),26.2,"$4,406",6,55%,11,17%,178
LOGIN MULTIMODAL LLC (104060-P1),15.92,$337,2,67%,3,71%,7
LONESOME COTTAGE FURNITURE CO (104935-P1),14.49,"$2,091",13,50%,26,19%,138
LONG BEACH TRADING (63274-P1),12.0,$242,0,0%,4,7%,59
LONGO CUSTOMS SERVICE (238605-P1),12.5,$85,1,50%,2,17%,24
LUMEFFICIENT LIGHTING CORPORATION (103280-P1),13.15,$53,0,0%,2,100%,2
LUSIVE DECOR (86465-P1),18.66,"$1,141",4,57%,7,15%,46
LYNN ELECTRONICS (107514-P1),12.0,$88,0,0%,3,33%,9
MA GROUP OF COMPANIES (247186-P1),19.08,"$3,146",9,22%,41,69%,65
MAGERACK (59107-P1),20.64,$462,1,33%,3,15%,27
MAGI FOODS (245038-P1),13.0,$66,0,0%,1,67%,3
MAGIC TRANSPORT (98559-P1),14.03,$193,0,0%,3,17%,23
MAGNOLIA INTERNATIONAL SERVICES LLC (106641-P1),41.53,$69,1,100%,1,100%,1
MAGNUS INDUSTRIES (91289-P1),9.25,$165,1,25%,4,20%,10
MAGNUS TEXTILE (97635-P1),15.4,"$1,100",8,44%,18,32%,80
MAILING SYSTEMS INC (85616-P1),12.75,$140,0,0%,2,67%,3
MAKESY (249064-P1),12.07,"$4,999",14,13%,105,51%,234
MAKK CROSS BORDER SOLUTIONS (230436-P1),19.17,$38,0,0%,1,11%,9
MALIK GALLERY (59106-P1),13.46,"$7,045",50,46%,109,75%,149
"MANDARIN USA, INC (67694-P1)",11.0,$243,2,50%,4,27%,15
MARBLE SYSTEMS (243345-P1),19.64,$856,4,27%,15,7%,292
MARIE ORIGINALS (116476-P1),12.5,$65,0,0%,1,50%,2
MARKETAIR (229292-P1),15.78,"$1,138",5,29%,17,77%,22
MARTIN ABASCAL CORP DBA ABASCAL VINYL TOPS (254346-P1),-20.59,$-103,1,100%,1,10%,10
MARUKAN VINEGAR USA (101648-P1),16.76,"$3,204",27,56%,48,35%,153
MATE USA LLC (112540-P1),19.67,$595,2,15%,13,34%,32
MATERIAL ARCHITECTURE FURNITURE (245567-P1),16.31,$125,1,50%,2,25%,8
MATRIX AIR SYSTEMS (114161-P1),22.35,"$5,321",10,19%,53,18%,304
MAYA KAIMAL FOODS (104872-P1),11.97,$755,7,50%,14,81%,21
MBK OFFICE (92992-P1),18.72,"$1,016",3,43%,7,64%,11
MC ELECTRIC (107886-P1),13.69,$400,0,0%,2,,
MCCARTHY GRANITE (100442-P1),13.64,"$1,056",3,19%,16,72%,25
MCI MIRITZ CITRUS INTERCONTINENTAL LLC (98086-P1),12.0,$33,0,0%,1,50%,2
MCOCOD (250985-P1),16.25,$314,1,50%,2,15%,20
MCWHORTERS LTD (102435-P1),10.22,"$1,005",7,35%,20,17%,144
MEADOW DECOR (61999-P1),14.44,$427,3,21%,14,37%,41
MEC IMEX - USA -  INC (94522-P1),16.6,$232,0,0%,1,50%,2
MEDZON HEALTH (106108-P1),10.0,$34,0,0%,1,100%,1
MEGATOYS (94479-P1),18.68,$185,1,50%,2,22%,9
MEKONG TRADING LLC (251555-P1),28.41,"$1,061",0,0%,3,67%,3
MER LOGIS INC (51347-P1),14.55,$218,0,0%,4,17%,30
METALLIC LADDER MANUFACTURING (116334-P1),17.36,"$6,563",8,17%,48,18%,302
METALLIC LADDER MANUFACTURING - BRENDA (252492-P1),39.11,"$5,291",8,24%,33,55%,62
METRO POLY CORP (89650-P1),17.98,"$1,178",5,56%,9,16%,57
MEXI-LAND (60970-P1),26.95,"$11,869",20,30%,67,48%,120
MI SANTUARIO (90421-P1),20.68,"$4,456",19,61%,31,51%,61
MIDSOUTH HOTEL SUPPLY (247145-P1),13.38,$167,0,0%,2,14%,14
MIDWEST TRADING CO (65937-P1),15.64,"$2,229",18,35%,52,87%,60
MILAEGERS (248748-P1),22.71,$280,2,67%,3,100%,2
MILAN CLOTHING (230206-P1),14.56,"$2,009",9,60%,15,55%,33
MILIJANA & SONS TRUCKING INC (101156-P1),14.43,$379,0,0%,5,23%,26
MILNE MASONRY (255980-P1),29.11,$150,0,0%,1,100%,1
MINNANO JAPANESE GROCERY (238810-P1),13.89,$768,5,42%,12,100%,12
MIRROR IMAGE (93977-P1),13.08,"$3,038",11,23%,47,45%,111
MIZU (102329-P1),14.48,$253,1,50%,2,33%,6
MJ TREEHOUSE VENTURES DBA UPSCAPERS (116801-P1),24.38,"$1,951",8,57%,14,21%,99
MLR PACKAGING (240549-P1),21.67,"$1,603",2,7%,30,63%,49
MM SHIP SUPPLY CHAIN LTD (116299-P1),14.96,"$1,614",3,50%,6,4%,224
MO' MONEY ASSOCIATES (232897-P1),12.43,"$8,584",17,25%,67,66%,99
MONARCH TEXTILES (244081-P1),12.29,$227,1,20%,5,38%,13
MOTIONWISE PRODUCTS (66712-P1),18.33,"$1,444",3,33%,9,73%,11
MPA SALES (61042-P1),17.07,$68,1,100%,1,100%,1
MPD HOLDINGS (60894-P1),11.41,$122,0,0%,3,43%,14
MTC INDUSTRIES (96242-P1),15.08,$306,5,83%,6,30%,27
MTJ AMERICAN LLC (248764-P1),15.35,$220,5,71%,7,35%,20
MTS GLOBAL (251792-P1),11.24,$402,1,20%,5,78%,9
MUDDY WATER LOGISTICS (251535-P1),10.0,$317,3,60%,5,,
MULTI SALES INC. (240550-P1),13.51,$597,6,60%,10,63%,41
NAXA ELECTRONICS INC (102330-P1),18.27,"$2,264",1,11%,9,26%,39
NEBULITE (60380-P1),13.31,"$2,337",12,30%,40,67%,60
NEW CROWN WHOLESALE (102836-P1),19.94,$703,2,33%,6,18%,33
NEW RAY TOYS INC (65846-P1),20.82,"$4,177",15,41%,37,26%,141
NEW SUN LOGISTICS INC (99797-P1),18.26,"$2,226",17,61%,28,29%,96
NEWARK WIRE WORKS (109166-P1),27.35,"$1,954",4,44%,9,60%,20
NIAGARA FIBERBOARD INC (86764-P1),11.0,$39,0,0%,1,4%,25
NIELSEN PRODUCTS LLC (100064-P1),15.42,$829,7,47%,15,68%,31
NINJA PAINTBALL (235930-P1),20.06,$374,2,33%,6,67%,9
NISSIN INTERNATIONAL TRANSPORT (83466-P1),14.33,$552,6,50%,12,48%,29
NORCAL CAR & TRUCK (84821-P1),21.6,$292,1,20%,5,57%,7
NORTH 40 FABRICATION (252867-P1),21.43,$750,0,0%,1,,
NOW MOVE USA (63649-P1),13.83,"$13,978",119,50%,239,7%,3734
NUTECH COMPANY (245654-P1),19.88,$400,3,38%,8,62%,13
OASIS IMAGING (245837-P1),19.86,"$1,475",4,21%,19,79%,29
OCEAN ROCK USA (88679-P1),16.71,"$4,560",36,33%,108,53%,228
OCEANIA INTERNATIONAL (62004-P1),16.97,"$11,998",17,21%,81,66%,106
OCEANIA INTERNATIONAL - MEMPHIS (62005-P1),11.0,$88,2,67%,3,0%,1922
OCEANIA INTERNATIONAL - NEW JERSEY (89526-P1),19.25,"$1,249",3,33%,9,0%,4638
OLD MODERN HANDICRAFTS (229734-P1),13.86,$346,4,67%,6,11%,55
OMEGA BROADCAST GROUP (106418-P1),23.56,$179,2,100%,2,25%,8
OMNISTONE MASONRY (253172-P1),7.83,$200,0,0%,1,25%,4
ONE STOP OUTDOOR (249202-P1),18.87,$122,1,50%,2,33%,6
OP PRODUCTS INC (100893-P1),16.5,$238,0,0%,4,36%,14
ORCA BEVERAGE (108192-P1),14.33,"$1,733",9,64%,14,54%,26
ORIGINAL NEW YORK SELTZER (105226-P1),20.78,"$2,405",1,17%,6,75%,8
ORWELL INC (253734-P1),73.22,$464,1,100%,1,50%,2
OSIO INTERNATIONAL INC (96219-P1),-1.3,$-50,0,0%,1,0%,1
OXARC (244277-P1),16.65,$322,1,33%,3,75%,4
"OZONE LAYER DEODORANT, LLC. (113822-P1)",36.63,$114,0,0%,1,7%,15
PACIFIC DUALIES INC (115870-P1),14.4,"$1,360",2,17%,12,69%,16
PACIFIC EAST CO (81531-P1),12.63,$134,1,25%,4,57%,7
PACIFIC HOME & GARDEN (95125-P1),15.42,$926,3,23%,13,32%,47
PACIFIC TECH (68043-P1),26.81,"$1,263",2,6%,33,89%,38
PACIFIC WAREHOUSE SALES (83582-P1),14.3,"$1,426",5,11%,44,85%,53
PACIFIC YURTS (111120-P1),15.1,$88,1,33%,3,9%,34
PACKAGING STRATEGIES INCORPORATED (238394-P1),19.55,$501,3,43%,7,18%,39
PACKAIR AIRFREIGHT INC (88959-P1),17.79,"$4,289",16,52%,31,52%,106
PACLIGHTS LLC (64270-P1),13.7,"$9,104",26,20%,130,90%,152
PANIC PLASTICS (85571-P1),17.04,$267,1,33%,3,25%,12
PAPER TUBE & CORE (230578-P1),27.34,$634,4,50%,8,22%,37
PAPERS FILMS & FOILS CO (108262-P1),12.96,$114,1,33%,3,14%,21
PAR INTERNATIONAL INC (101842-P1),14.97,$166,4,67%,6,38%,16
PARAGON PROMOTIONS INC (96446-P1),30.22,$151,0,0%,2,67%,3
PARK AVE APPLIANCES (234586-P1),12.17,$388,3,33%,9,11%,122
PARKER AND SONS TRANSMISSIONS (51911-P1),22.07,"$1,418",10,27%,37,72%,53
PC MICRO STORE (242607-P1),12.5,$85,1,100%,1,20%,5
PDC (52446-P1),19.36,"$8,132",8,27%,30,43%,60
PDQ AUTOMATIC TRANSMISSION PARTS (86675-P1),16.98,"$2,066",18,37%,49,94%,49
PEAK FRESH USA (59029-P1),11.75,$130,1,50%,2,17%,12
PEDORTHIC SHOPPE (230477-P1),9.6,$28,0,0%,1,67%,3
PENTIUS USA INC (101213-P1),16.36,"$1,502",1,17%,6,11%,65
PERKO INC. (104732-P1),17.77,$49,0,0%,2,22%,9
PETER PAN NOVELTY COMPANY (96025-P1),19.83,"$5,641",12,33%,36,85%,46
"PETLAND, INC. (101454-P1)",30.02,"$1,064",0,0%,6,35%,26
PHAT SCOOTER (110271-P1),11.0,$132,0,0%,2,56%,9
PINNACLE PEAK TRADING COMPANY (235917-P1),33.94,$244,0,0%,2,43%,7
PLANET IMPORTS (52316-P1),22.57,$20,0,0%,1,7%,14
PLANTATION CANDIES (93930-P1),26.31,"$3,281",36,51%,70,96%,71
PLASTIC INNOVATIONS INC. (246223-P1),17.35,$309,1,14%,7,100%,8
PLATFORM DISPLAYS (104694-P1),14.2,$153,0,0%,2,10%,10
PLATINUM ACCESS SYSTEMS (51118-P1),14.32,"$1,273",6,23%,26,70%,40
PLATINUM STAGES (109946-P1),14.77,$456,5,83%,6,18%,33
POLY CORR INDUSTRIES (70146-P1),22.29,"$2,329",8,40%,20,43%,51
"POLYMAX THERMOPLASTIC ELASTOMERS, LLC (231291-P1)",11.0,$134,0,0%,1,8%,13
POOLMASTER INC (228067-P1),14.27,"$1,467",6,55%,11,15%,85
PORTLAND PACKAGING CO (105047-P1),13.04,$58,0,0%,2,30%,20
PORTOR INDUSTRY (65673-P1),15.4,"$2,239",7,33%,21,31%,67
POSITIVE CONCEPTS (50250-P1),17.28,"$1,834",4,8%,52,13%,410
POSSMEI USA INC (245592-P1),11.0,$130,2,100%,2,21%,33
POST PONY WAREHOUSE (254229-P1),18.08,"$5,628",30,48%,63,13%,502
POWER STEER INC (63189-P1),15.3,"$2,312",14,22%,65,70%,107
POWER TRIM CO (229541-P1),19.17,$401,0,0%,9,50%,28
PP WAREHOUSE INC (231022-P1),16.32,"$9,707",50,56%,90,10%,973
PRECISION WATERJET INC (81239-P1),21.12,"$4,134",5,24%,21,49%,41
PREFERRED WIRE PRODUCTS (105213-P1),18.24,"$1,964",10,67%,15,59%,22
PREMIER ORGANICS (95905-P1),18.21,"$1,662",2,18%,11,91%,11
PREMIER PUMP AND POWER (94206-P1),20.49,"$5,355",17,30%,57,72%,81
PRESTIGE IMPORT GROUP (61593-P1),42.44,"$24,380",44,38%,116,46%,272
PRIMA NOCE PACKING INC (104473-P1),12.73,$800,0,0%,1,30%,10
PRO LITE (93191-P1),23.42,"$1,130",6,33%,18,46%,39
PRO MOTION DISTRIBUTING (92973-P1),23.08,"$7,021",78,50%,156,64%,250
PRO SHIFT (106770-P1),26.52,$124,2,67%,3,43%,7
PRO-EDGE INDUSTRIES (250441-P1),15.26,"$1,210",3,7%,41,33%,126
PROCRAFT CABINETRY ATLANTA (114309-P1),17.65,$126,1,20%,5,57%,7
PROFAB SHEET METAL INC (104131-P1),14.02,$615,0,0%,4,0%,3
PROLIN MARKETING INC (84364-P1),26.94,$295,0,0%,1,50%,2
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),19.08,"$6,536",16,35%,46,41%,132
PULSAR PRODUCTS (50500-P1),13.6,"$4,918",10,12%,86,42%,221
PUMPING SOLUTIONS (52530-P1),22.62,"$9,641",13,8%,157,93%,184
PURCELL MURRAY (240880-P1),13.09,$440,3,50%,6,57%,21
PURE ASSAY (60071-P1),12.22,$214,1,25%,4,16%,31
PURE LOGIC INDUSTRIES (95684-P1),25.29,$55,0,0%,1,50%,2
"PURE N NATURAL SYSTEMS, INC. (234046-P1)",19.95,"$2,013",7,19%,37,84%,43
PURETECK CO INC (61562-P1),14.16,$501,1,9%,11,24%,45
PURSUE HEALTH (247909-P1),50.0,$600,0,0%,1,,
PYRO DISTRO (250378-P1),13.54,$774,2,33%,6,25%,12
Q SHIP USA CORP (117114-P1),10.8,$469,5,26%,19,0%,4251
Q-TRAN LED - CA (253904-P1),10.79,$171,0,0%,1,40%,5
QMART INTERNATIONAL (231505-P1),17.26,$59,1,50%,2,25%,8
QUANTUM VENTURES CORPORATION (51656-P1),12.53,"$2,226",12,63%,19,95%,21
QUARTER INDUSTRIES (234880-P1),14.8,$122,1,33%,3,25%,12
QUIKLEEN ABSORBENT (254193-P1),10.0,$141,3,60%,5,77%,13
QURE WATER (233055-P1),20.31,$456,3,75%,4,21%,24
R&R INDUSTRIES (106223-P1),13.67,$189,1,50%,2,50%,4
R&R LOGISTICS (92439-P1),17.31,$792,2,18%,11,34%,35
RASKIN (100279-P1),20.59,"$1,616",0,0%,17,94%,16
RB COMPONENTS (51610-P1),18.68,"$3,920",13,22%,60,46%,149
RCI MANAGEMENT SERVICES (248662-P1),10.28,$32,0,0%,1,4%,27
RDM SUPPLY CHAIN SOLUTIONS (90889-P1),22.1,"$1,564",7,44%,16,14%,124
REAL INTERNATIONAL SCM CORP (72062-P1),21.02,"$3,366",0,0%,6,5%,130
REALSTONE SYSTEMS (64462-P1),18.13,"$24,293",57,13%,449,48%,977
RED RUBY INTERNATIONAL LOGISTICS (231984-P1),9.99,$230,3,100%,3,38%,8
REDSTONE FOODS INC (100869-P1),13.71,"$1,076",3,27%,11,23%,52
REFRESCO BEVERAGES (242796-P1),12.0,$27,1,100%,1,50%,2
REINHART & ASSOCIATES INC (89906-P1),28.65,"$4,047",4,57%,7,80%,5
RELIANCE AIRCRAFT INTERNATIONAL (110961-P1),11.98,$469,1,12%,8,28%,32
REPUBLIC FLOOR - AZ (111692-P1),16.41,"$2,237",9,36%,25,46%,54
